author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/299633444/;Дзержинский;7;14;1;43,0;9250000;2001;-1,0;10 ;;Угрешская ;Котельники;
ID 111685753;homeowner;https://dzerzhinsky.cian.ru/sale/flat/297946385/;Дзержинский;3;9;1;33,1;5900000;1987;17,2 ;7 ;;Толинская ;Котельники;
ID 115451163;homeowner;https://dzerzhinsky.cian.ru/sale/flat/300838427/;Дзержинский;2;15;1;53,0;9000000;1999;20 ;9 ;;Угрешская ;Котельники;
ID 112316910;homeowner;https://dzerzhinsky.cian.ru/sale/flat/297414767/;Дзержинский;5;14;1;38,9;7800000;2003;20,9 ;8,6 ;;Угрешская ;Котельники;
Кота Эстейт;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306951955/;Дзержинский;4;18;2;50,5;8500000;2011;19,2 ;14,6 ;; Ленина;Котельники;Угрешский
ID 123136565;realtor;https://dzerzhinsky.cian.ru/sale/flat/308399231/;Дзержинский;2;5;3;54,3;8300000;1963;39,7 ;5,3 ;;Школьная ;Котельники;
CENTURY 21 Перспектива;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307496106/;Дзержинский;8;17;2;60,9;8200000;2022;31 ;10 ;; Доркина;Котельники;по ул. Угрешская
Владис;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308209527/;Дзержинский;15;17;2;45,0;9000000;2004;16 ;19 ;;Угрешская ;Котельники;Лесные озёра
Татьяна Мантова;realtor;https://dzerzhinsky.cian.ru/sale/flat/307726424/;Дзержинский;7;7;3;82,8;10875000;-1;50,5 ;13 ;;Дзержинская ;Котельники;
ID 13087967;unknown;https://dzerzhinsky.cian.ru/sale/flat/308071906/;Дзержинский;6;9;2;43,1;5700000;-1;-1,0;6 ;; Бондарева;Котельники;
ID 7892;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/299671216/;Дзержинский;4;9;2;53,4;8600000;1978;33,2 ;7,1 ;;Спортивная ;Котельники;
ОГРК;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/294309927/;Дзержинский;15;17;2;65,5;10699000;2017;30 ;14 ;;Угрешская ;Жулебино;Лесные озёра
Этажи Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306127596/;Дзержинский;15;17;2;65,5;10700000;2017;30 ;15 ;;Угрешская ;Жулебино;
Татьяна Мантова;realtor;https://dzerzhinsky.cian.ru/sale/flat/307726893/;Дзержинский;4;7;2;62,8;8300000;2023;32,2 ;11,8 ;;Дзержинская ;Котельники;
МГСН;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306056180/;Дзержинский;1;5;2;42,0;5200000;-1;26,9 ;6 ;; Ленина;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308526871/;Дзержинский;15;17;2;74,9;13790000;2015;40 ;15 ;;Лесная ;Котельники;
