author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/298867178/;Реутов;3;9;2;37,9;6950000;1968;24,5 ;6,3 ;;Коольская ;Реутов;
Классика;real_estate_agent;https://khimki.cian.ru/sale/flat/308416467/;Хии;10;17;2;76,0;10000000;2021;38 ;19 ;;;Молжаниново;Авиатор
НДВ;real_estate_agent;https://khimki.cian.ru/sale/flat/308768514/;Хии;2;8;2;49,8;6320000;-1;25 ;17 ;; Береговая;Шеретьевская;Берег
Место;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/300009926/;Красногорск;3;8;2;55,0;10400000;-1;32 ;12 ;Нахабино рп; Вторая Косческая;;
КЛЕВЕР;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/305927855/;Солнечногорск;2;5;2;47,0;5450000;-1;25 ;10 ;;;;
Квартал-40;real_estate_agent;https://naro-fominsk.cian.ru/sale/flat/307945497/;Наро-Фонск;4;5;2;43,8;5850000;1962;-1,0;10 ;Южный р; Рижская;;
Салет плюс МО;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/294083659/;Солнечногорск;5;17;2;48,0;7290000;2023;13 ;20 ;;Красная ;Зеленоград — Крюково;Никольская панора
Reliz Студия недвижисти;real_estate_agent;https://naro-fominsk.cian.ru/sale/flat/304868974/;Наро-Фонск;4;9;2;49,1;7700000;1992;33 ;8 ;Южный р; Мира;;
ID 89450272;homeowner;https://ramenskoye.cian.ru/sale/flat/308547795/;Ранское;4;17;2;66,0;10000000;2016;32,8 ;17,5 ;; Крыкая;Ипподром;Зелёная околица
МаксиБовкун;realtor;https://mytishchi.cian.ru/sale/flat/306316272/;Мытищи;13;17;2;33,6;7500000;2023;-1,0;10 ;;переулок 1-й Стрелковый;Медведково;Мытищи Парк
Ян Марченко;realtor;https://lytkarino.cian.ru/sale/flat/307048896/;Лыткарино;2;18;2;55,0;5400000;2021;27 ;19 ;;;Толино;Гарния Парк
Салет Плюс;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/305883192/;Солнечногорск;2;5;2;46,0;4549000;-1;25 ;6 ;Солнечногорск;переулок Механизаторов;;
HOUSE MALL - Городская недвижисть;real_estate_agent;https://reutov.cian.ru/sale/flat/293175428/;Реутов;17;29;2;50,0;13450000;2018;32 ;12 ;; Реутовских ополченцев;Реутов;Мкр. 6А
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308564790/;Люберцы;17;18;2;57,0;9800000;2019;30 ;13,2 ;; Барыкина;Некрасовка;Люберцы
Юр-Инвест;developer;https://solnechnogorsk.cian.ru/sale/flat/296012769/;Солнечногорск;4;4;2;54,9;9806447;2023;-1,0;-1,0;;;;Бакеево-парк
ЗелАН;real_estate_agent;https://khimki.cian.ru/sale/flat/304005782/;Хии;3;16;2;54,1;8550000;1984;31,9 ;9,2 ;;Нагорное шоссе;Хии;
Юр-Инвест;developer;https://solnechnogorsk.cian.ru/sale/flat/296012767/;Солнечногорск;3;4;2;58,0;9990000;2023;-1,0;-1,0;;;;Бакеево-парк
Ирина Банникова;realtor;https://noginsk.cian.ru/sale/flat/308988787/;Ногинск;3;5;2;45,2;5350000;1965;27 ;6 ;с. Кудиново; Центральная;;
Karlson Realty;real_estate_agent;https://odintsovo.cian.ru/sale/flat/300424708/;Одинцово;4;4;2;38,0;7200000;-1;15 ;10 ;с. Неиновка;проезд Рублевский;;Рублёвский
ID 310263;homeowner;https://zhukovsky.cian.ru/sale/flat/283282239/;Жуковский;8;20;2;57,4;8000000;2021;-1,0;-1,0;; Баженова;Ильинская;Полетград
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305881499/;Мытищи;2;25;2;57,0;10800000;2016;34 ;10 ;; Борисовка;Медведково;Ярославский
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304135753/;Мытищи;23;25;2;58,2;11500000;2023;26 ;14 ;;Медицинская ;Медведково;
НДВ Суперркет Недвижисти;representative_developer;https://istra.cian.ru/sale/flat/307022798/;Истра;4;4;2;67,0;18210600;2023;-1,0;14,1 ;с. Павловская Слобода; Изуудная;;Сказка
Этажи Москва;real_estate_agent;https://lobnya.cian.ru/sale/flat/301715087/;Лобня;3;4;2;44,0;6900000;1961;30 ;7 ;;Авиационная ;Лобня;
Homeapp;real_estate_agent;https://zvenigorod.cian.ru/sale/flat/308830069/;Звенигород;13;17;2;57,0;12390000;2016;32,7 ;11,1 ;;;Строгино;Супонево
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306211704/;Долгопрудный;2;9;2;44,0;8000000;1978;28 ;5,6 ;; Циолковского;Долгопрудная;
Экспресс-недвижисть;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/304295681/;Ранское;1;3;2;35,3;5300000;1959;24,3 ;5,8 ;Центральный; Стальконструкции;Ипподром;
ГРАНД;developer;https://shchyolkovo.cian.ru/sale/flat/307649062/;Щёлково;17;17;2;59,5;9805047;2024;33,4 ;10,2 ;;;Гольяново;Соболевка ЖК
Мега-Балт;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/308368737/;Солнечногорск;9;17;2;65,0;7700000;2023;38,5 ;9 ;Солнечногорск;Красная ;;Никольская панора
Салет Плюс Мытищи;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308301914/;Мытищи;2;9;2;44,3;7250000;-1;28,6 ;5,9 ;;Олиийский проспект;Медведково;
Этажи Москва;real_estate_agent;https://kotelniki.cian.ru/sale/flat/307008744/;Котельники;7;17;2;51,1;11390000;2019;44 ;2,1 ;; Сосновая;Котельники;Оранж парк
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/306177729/;Люберцы;23;24;2;59,5;15916250;2024;29,3 ;12,2 ;; Рождественская;Люберцы;1-й Лернтовский
Любовь Федорова;realtor;https://krasnogorsk.cian.ru/sale/flat/308494962/;Красногорск;8;10;2;56,1;10500000;2004;34,6 ;12 ;д. Путилково; Садовая;;
Century 21 Харлав;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306228044/;Люберцы;4;9;2;44,3;6590000;1978;27,9 ;6 ;;Южная ;Панки;
МетриуПреу- отдел вторичной недвижисти;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308827835/;Люберцы;2;5;2;41,2;7600000;1963;26 ;5,5 ;; 3-е Почтовое Отделение;Люберцы;
МИЭЛЬ Офис Пречистенка;real_estate_agent;https://lobnya.cian.ru/sale/flat/308956153/;Лобня;7;17;2;61,1;9450000;2012;31 ;10 ;; Катюшки;Лобня;Катюшки
Салет плюс МО;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/296279143/;Солнечногорск;3;5;2;44,3;5350000;-1;32 ;6 ;Солнечногорск;Набережная ;;
Портал Недвижисти;real_estate_agent;https://serpukhov.cian.ru/sale/flat/305390180/;Серпухов;1;2;2;45,0;3650000;1965;30 ;6 ;Данки ст.; Школьная;;
MR Group;developer;https://vidnoye.cian.ru/sale/flat/307271756/;Видное;3;17;2;36,3;6753320;2024;-1,0;-1,0;;;;"У реки ""Эко Видное 2"""
Елена Чистякова;realtor;https://ramenskoye.cian.ru/sale/flat/308995684/;Ранское;2;5;2;44,5;4990000;-1;31 ;6 ;Западный; Коснавтов;Есенинская;
ВРЕМЯ РЕШЕНИЙ;real_estate_agent;https://ivanteyevka.cian.ru/sale/flat/307361271/;Ивантеевка;17;17;2;63,1;9100000;2014;34,5 ;14,5 ;;Хлебозаводская ;Выхино;Берег Скалбы
ID 70903374;homeowner;https://naro-fominsk.cian.ru/sale/flat/308337185/;Наро-Фонск;4;9;2;54,9;6700000;1985;30 ;9 ;Наро-Фонск; Шибанкова;;
Александр Седов;realtor;https://noginsk.cian.ru/sale/flat/305372019/;Ногинск;4;17;2;63,0;5800000;2023;32 ;11 ;Ногинск; Шибаевская;;
ID 120141220;homeowner;https://zvenigorod.cian.ru/sale/flat/308897897/;Звенигород;8;10;2;61,2;8950000;-1;38 ;18 ;;;;
Адресат;real_estate_agent;https://losino-petrovskiy.cian.ru/sale/flat/307723743/;Лосино-Петровский;6;16;2;56,0;6000000;-1;32 ;12 ;Свердловский рп; Березовая;;
МК-Гарант;real_estate_agent;https://dmitrov.cian.ru/sale/flat/291677395/;Дтров;1;2;2;55,0;6000000;2021;-1,0;14 ;Северное Сияние ЖК; Новопоселковая;;
Этажи Москва;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/306225359/;Красногорск;21;25;2;59,8;13000000;2013;-1,0;15,9 ;;бульвар Ильинский;Пенягино;Павшинская пой рн. 4
ГОРОДА;real_estate_agent;https://pushkino.cian.ru/sale/flat/308694655/;Пушкино;1;5;2;46,2;5999999;1972;32,4 ;6 ;р. Кудринка;Спортивная ;;
ID 97715377;homeowner;https://krasnogorsk.cian.ru/sale/flat/308953728/;Красногорск;16;28;2;56,2;13500000;2024;26 ;12 ;;;Мякинино;Спутник ЖК
ФСК Агент;real_estate_agent;https://balashikha.cian.ru/sale/flat/303444946/;Балашиха;1;18;2;54,0;6990000;2014;31 ;9,5 ;;Зеленая ;Никольское;Жеужина Балашихи
Reliz Студия недвижисти;real_estate_agent;https://naro-fominsk.cian.ru/sale/flat/302016614/;Наро-Фонск;1;5;2;37,2;4500000;-1;17,9 ;5,3 ;Южный р; Ленина;;
ГОРОДА;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/303485804/;Красногорск;8;8;2;47,0;6750000;2022;29 ;8 ;д. Сабурово; Рождественская;;Митино О2
Экспресс-недвижисть;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/308993050/;Ранское;7;9;2;45,0;7000000;-1;28 ;7,5 ;Западный;Коунистическая ;Фабричная;
Диалог Риэлт;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/308827557/;Солнечногорск;17;17;2;67,9;9000000;2015;33 ;14,5 ;д. Голубое;проезд Тверецкий;;Первый Зеленоградский
На Петровке;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/308225776/;Красногорск;4;10;2;74,0;20900000;2022;49 ;20 ;;бульвар Серебряный;Опалиха;Серебрица
ID 16079413;homeowner;https://balashikha.cian.ru/sale/flat/306373203/;Балашиха;11;17;2;64,0;9549000;2015;32,3 ;13 ;;проспект Ленина;Салтыковская;Жеужина Виктории
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/300805939/;Реутов;3;4;2;43,8;7500000;1963;30,2 ;6,2 ;;проспект Мира;Реутов;
СИТИ21;developer;https://krasnogorsk.cian.ru/sale/flat/297604914/;Красногорск;3;6;2;65,3;16972518;2024;-1,0;-1,0;;аллея Золотая;Опалиха;8 кленов
Классика;real_estate_agent;https://khimki.cian.ru/sale/flat/298477083/;Хии;2;5;2;65,0;11890000;2018;29 ;20 ;; Ивановская;Молжаниново;
ID 21619422;unknown;https://mytishchi.cian.ru/sale/flat/303952572/;Мытищи;4;6;2;55,0;9200000;2017;-1,0;11 ;;бульвар Тенистый;Медведково;Иераторские Мытищи
Этажи Москва;real_estate_agent;https://khimki.cian.ru/sale/flat/304195766/;Хии;1;5;2;44,8;5300000;1967;-1,0;6 ;; Жаринова;Новоподрезково;
Бекар;real_estate_agent;https://lobnya.cian.ru/sale/flat/305735057/;Лобня;4;9;2;51,8;7050000;1992;27 ;7,2 ;; Чайковского;Лобня;
TimeProperty;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/307862780/;Красногорск;6;7;2;42,9;24800000;-1;-1,0;8 ;; Согласия;Строгино;Парк Рублево
ОГРК;real_estate_agent;https://podolsk.cian.ru/sale/flat/307157974/;Подольск;2;5;2;45,0;6400000;1973;30 ;6 ;; Филиппова;Подольск;
GENESIS Asset Management;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308361120/;Люберцы;2;17;2;56,8;9550000;-1;27,8 ;17,3 ;; Кава;Некрасовка;Люберцы
Homeapp;real_estate_agent;https://odintsovo.cian.ru/sale/flat/303639011/;Одинцово;22;25;2;52,1;12700000;2019;29,5 ;10,4 ;; Сколковская;Сколково;Сколковский
МК-Гарант;real_estate_agent;https://dmitrov.cian.ru/sale/flat/307251468/;Дтров;3;5;2;475,0;4799000;1977;33 ;7 ;;;;
Центральное;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/305931023/;Ранское;9;9;2;51,2;7997000;1994;29 ;7 ;Центральный;Лесная ;Ипподром;
ID 36509823;unknown;https://odintsovo.cian.ru/sale/flat/308063512/;Одинцово;2;9;2;45,0;9400000;-1;25 ;7 ;;Можайское шоссе;Одинцово;
;;https://pushkino.cian.ru/sale/flat/292992822/;Пушкино;2;17;2;40,4;6603577;2024;-1,0;-1,0;;Школьная ;Медведково;Южное Пушкино
Тройка РЭД;developer;https://lyubertsy.cian.ru/sale/flat/290784073/;Люберцы;7;25;2;47,8;7610812;2023;-1,0;-1,0;; Солнечная;Некрасовка;Облака 2
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/294225785/;Одинцово;4;5;2;38,7;7662600;2024;33,7 ;-1,0;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 нут.";;
Юр-Инвест;developer;https://solnechnogorsk.cian.ru/sale/flat/296012798/;Солнечногорск;4;4;2;32,8;8002061;2022;-1,0;-1,0;;;;Бакеево-парк
Юр-Инвест;developer;https://solnechnogorsk.cian.ru/sale/flat/296012792/;Солнечногорск;4;4;2;32,7;8002061;2022;-1,0;-1,0;;;;Бакеево-парк
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/308384912/;Щёлково;15;17;2;62,4;8253188;2024;33,9 ;12,2 ;;Фряновское шоссе;Гольяново;Солнечная долина
;;https://odintsovo.cian.ru/sale/flat/307718868/;Одинцово;11;17;2;48,3;8404200;2023;-1,0;-1,0;Новоивановское рп; Западная;;Апарт колекс М1 Сколково
;;https://odintsovo.cian.ru/sale/flat/307718862/;Одинцово;3;17;2;48,7;8425100;2023;-1,0;-1,0;Новоивановское рп; Западная;;Апарт колекс М1 Сколково
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/285451537/;Одинцово;1;5;2;42,6;8562600;2023;37,6 ;-1,0;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 нут.";;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/302837278/;Одинцово;2;5;2;44,5;8633000;2024;39,5 ;-1,0;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 нут.";;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/294225767/;Одинцово;1;5;2;49,6;8828800;2024;44,6 ;-1,0;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 нут.";;
КОРТРОС;developer;https://odintsovo.cian.ru/sale/flat/290836782/;Одинцово;5;5;2;38,5;8855000;2024;10,5 ;-1,0;Рублёво-Успенское шоссе;"Минское шоссе с платной трассой и другие. Также в пешей доступности находятся две ж/д станции — ""Жаворонки"" и ""Здравница"". Дорога на электропоезде до делового центра ""Москва-Сити"" составит всего 35 нут.";;
;;https://podolsk.cian.ru/sale/flat/306563539/;Подольск;2;17;2;60,6;9050610;2024;-1,0;-1,0;; Советская;Подольск;Мессиер 18
;;https://podolsk.cian.ru/sale/flat/306563396/;Подольск;2;17;2;60,6;9050610;2024;-1,0;-1,0;; Советская;Подольск;Мессиер 18
Салет;developer;https://khimki.cian.ru/sale/flat/308656663/;Хии;5;12;2;52,4;9251325;2024;21,2 ;18,6 ;;;;Пятницкие Луга
RDI;developer;https://vidnoye.cian.ru/sale/flat/309019006/;Видное;4;9;2;63,1;9425000;2024;-1,0;-1,0;;;;Ново-Молоково
СЕТЬСТРОЙ БАЛАШИХА;developer;https://balashikha.cian.ru/sale/flat/296273440/;Балашиха;8;17;2;48,6;9379800;2024;22,3 ;9,4 ;г. Балашиха;ул. Твардовского;Новокосино;Квартал Светлый ЖК
ИНВЕСТ-СТРОЙ;developer;https://mytishchi.cian.ru/sale/flat/308943031/;Мытищи;14;25;1;32,6;6396000;2023;13,2 ;10,2 ;;Медицинская ;Медведково;Отрадный
СЕТЬСТРОЙ БАЛАШИХА;developer;https://balashikha.cian.ru/sale/flat/304035271/;Балашиха;17;17;1;31,6;6383200;2024;12,6 ;8 ;г. Балашиха;ул. Твардовского;Новокосино;Квартал Светлый ЖК
Салет;developer;https://khimki.cian.ru/sale/flat/308920691/;Хии;7;12;1;36,2;6396057;2024;10,5 ;17,3 ;;;;Пятницкие Луга
;;https://mytishchi.cian.ru/sale/flat/308793942/;Мытищи;8;9;1;36,2;6513432;2024;-1,0;-1,0;д. Пирогово; Ильинского;;Пироговская Ривьера
R-invest;developer;https://shchyolkovo.cian.ru/sale/flat/307945845/;Щёлково;10;17;1;43,6;6578880;2024;17,4 ;11,1 ;;Фряновское шоссе;Гольяново;Солнечная долина
Салет;developer;https://balashikha.cian.ru/sale/flat/308912624/;Балашиха;19;22;1;35,5;6551694;2024;11 ;14 ;; Бояринова;Ольгино;Новоград Павлино
Юр-Инвест;developer;https://solnechnogorsk.cian.ru/sale/flat/296012743/;Солнечногорск;2;4;1;35,7;6622834;2023;-1,0;-1,0;;;;Бакеево-парк
Салет;developer;https://balashikha.cian.ru/sale/flat/308920271/;Балашиха;3;22;1;44,9;7021170;2024;13,9 ;23 ;; Бояринова;Ольгино;Новоград Павлино
Юр-Инвест;developer;https://solnechnogorsk.cian.ru/sale/flat/296012815/;Солнечногорск;4;4;1;33,6;7000000;2021;-1,0;-1,0;;;;Бакеево-парк
Салет;developer;https://balashikha.cian.ru/sale/flat/308651048/;Балашиха;7;22;1;43,6;7349097;2024;12,9 ;22,2 ;; Бояринова;Ольгино;Новоград Павлино
Салет;developer;https://odintsovo.cian.ru/sale/flat/308656623/;Одинцово;3;9;1;34,6;7331440;2024;15,1 ;10,9 ;;;;Рублевский Квартал
Салет;developer;https://odintsovo.cian.ru/sale/flat/308656619/;Одинцово;3;9;1;33,7;7521502;2024;9,3 ;17,4 ;;;;Рублевский Квартал
IKON Development;developer;https://khimki.cian.ru/sale/flat/307942806/;Хии;17;18;1;37,8;7515327;2023;14,7 ;12,5 ;;;;Новый Зеленоград
Иван Музалевский;realtor;https://balashikha.cian.ru/sale/flat/301875482/;Балашиха;7;16;1;42,3;7250000;2010;16 ;12 ;; Юбилейная;Железнодорожная;
ID 78979205;unknown;https://lyubertsy.cian.ru/sale/flat/274009751/;Люберцы;8;17;1;33,4;4700000;2023;-1,0;16 ;;;Некрасовка;Люберцы 2020 ЖК
Андрей Синицын;realtor;https://podolsk.cian.ru/sale/flat/308056790/;Подольск;5;5;2;49,7;6500000;1970;-1,0;6 ;; Циолковского;Подольск;
Эльнар Ашуров;realtor;https://odintsovo.cian.ru/sale/flat/308286717/;Одинцово;12;17;2;48,8;6970000;2023;-1,0;17 ;Новоивановское рп; Западная;;Апарт колекс М1 Сколково
СОВКОМБАНК;official_representative;https://zhukovsky.cian.ru/sale/flat/304369759/;Жуковский;4;5;2;42,7;4700000;1966;22 ;6 ;; Гагарина;Ильинская;
Татьяна Мантова;realtor;https://dzerzhinsky.cian.ru/sale/flat/307726151/;Дзержинский;2;7;1;41,9;5897000;2023;16,2 ;12,8 ;;Дзержинская ;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303468745/;Дзержинский;3;5;1;317,0;4800000;-1;19,6 ;5,2 ;; Ленина;Котельники;
CENTURY 21 Перспектива;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306940618/;Дзержинский;8;17;1;45,7;7300000;-1;30,7 ;10 ;;Угрешская ;Котельники;Лесные озёра
Ольга Козицкая;realtor;https://dzerzhinsky.cian.ru/sale/flat/307506587/;Дзержинский;2;9;1;34,0;5200000;-1;18 ;6 ;;Толинская ;Котельники;
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307937434/;Дзержинский;5;5;1;31,0;5250000;-1;22 ;6 ;;Дзержинская ;Котельники;
Татьяна Полянина;realtor;https://dzerzhinsky.cian.ru/sale/flat/308109975/;Дзержинский;1;9;1;33,0;5100000;-1;17,2 ;7 ;Дзержинский;Толинская ;;
Салет Плюс Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306902189/;Дзержинский;12;15;1;46,0;8600000;2016;17,9 ;14,5 ;;Угрешская ;Котельники;Угрешская
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306218122/;Дзержинский;1;2;1;32,0;4150000;-1;19 ;6 ;; Карьер ЗИЛ;Котельники;
Салет Плюс Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306700062/;Дзержинский;9;16;1;48,0;7000000;2004;20,1 ;13,6 ;;Угрешская ;Котельники;
Home Sharing;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/304943929/;Дзержинский;1;3;1;317,0;4900000;1960;17 ;6 ;; Акадека Жукова;Котельники;
ID 120027591;homeowner;https://dzerzhinsky.cian.ru/sale/flat/305568378/;Дзержинский;4;5;1;304,0;5450000;1968;18,4 ;6 ;; Строителей;Котельники;
Людла Воронина;realtor;https://dzerzhinsky.cian.ru/sale/flat/308328246/;Дзержинский;9;21;1;57,1;8900000;2017;24,2 ;19,6 ;;Угрешская ;Жулебино;
Арсений Деенко;realtor;https://dzerzhinsky.cian.ru/sale/flat/308418837/;Дзержинский;5;7;1;43,5;7150000;2023;14,4 ;10,6 ;;Дзержинская ;Котельники;
ID 77918386;homeowner;https://dzerzhinsky.cian.ru/sale/flat/308543923/;Дзержинский;8;17;1;66,0;9900000;2020;20 ;20 ;;Угрешская ;Котельники;по ул. Угрешская
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307896538/;Дзержинский;5;9;1;35,0;5500000;1975;20 ;7 ;; Лернтова;Котельники;
Мост;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308926862/;Дзержинский;4;9;1;32,0;5790000;1979;18 ;5,6 ;;;Котельники;
Этажи Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308596257/;Дзержинский;14;17;1;62,8;9400000;2022;-1,0;20 ;; Доркина;Котельники;по ул. Угрешская
Олег Ерков;realtor;https://dzerzhinsky.cian.ru/sale/flat/309002813/;Дзержинский;13;13;1;48,6;8500000;2002;19 ;16 ;;Лесная ;Котельники;
Владис;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307954235/;Дзержинский;8;17;1;60,0;8500000;2017;20,9 ;19,3 ;;Угрешская ;Жулебино;
ID 366764;realtor;https://dzerzhinsky.cian.ru/sale/flat/308660407/;Дзержинский;2;18;1;44,9;7800000;2014;26 ;10,9 ;;Угрешская ;Котельники;Угрешская
АНПЛАНЕТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/300373115/;Дзержинский;2;16;1;37,8;7500000;-1;21,7 ;9,7 ;;Лесная ;Котельники;
Дельта;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308569262/;Дзержинский;7;16;1;37,7;7550000;-1;18,9 ;8,4 ;;Угрешская ;Котельники;
ID 107535156;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307611633/;Дзержинский;4;17;1;39,6;7000000;2015;12,8 ;11 ;;Лесная ;Котельники;
Арсений Деенко;realtor;https://dzerzhinsky.cian.ru/sale/flat/302840847/;Дзержинский;8;14;1;37,4;5700000;1984;17,1 ;8,2 ;;Лесная ;Котельники;
АНПЛАНЕТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/304076941/;Дзержинский;7;9;1;34,5;5950000;-1;17 ;7,2 ;;Толинская ;Котельники;
Диалог Риэлт;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306947732/;Дзержинский;6;10;1;35,0;5850000;1991;18 ;8 ;;Лесная ;Котельники;
Ольга Никифорова;realtor;https://dzerzhinsky.cian.ru/sale/flat/302486741/;Дзержинский;3;9;1;33,3;5450000;1961;18,6 ;6,2 ;; Лернтова;Котельники;
ID 121603008;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307686998/;Дзержинский;4;17;1;53,6;7800000;-1;20 ;18 ;;Угрешская ;Котельники;Лесные озёра
Татьяна Мантова;realtor;https://dzerzhinsky.cian.ru/sale/flat/307726247/;Дзержинский;6;7;1;45,3;6565500;2023;17,3 ;13 ;; Героя России Виктора Дудкина;Котельники;
Деловой Союз;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307212219/;Дзержинский;5;15;1;60,0;9000000;1999;20,1 ;20,1 ;;Угрешская ;Котельники;
Коорт;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308148101/;Дзержинский;10;14;1;35,0;5900000;-1;17 ;7,2 ;;Лесная ;Котельники;
Алиев Коон;realtor;https://dzerzhinsky.cian.ru/sale/flat/299370386/;Дзержинский;11;18;1;53,1;8000000;2004;20 ;14 ;;Угрешская ;Котельники;Лесные озёра
МГСН;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306838236/;Дзержинский;6;10;1;42,7;7500000;-1;19 ;12 ;; Ша;Котельники;
ID 57590182;unknown;https://dzerzhinsky.cian.ru/sale/flat/303039019/;Дзержинский;16;18;1;47,9;7800000;2004;21 ;16 ;;Угрешская ;Котельники;Лесные озёра
СниКварти.Ру;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/307063892/;Дзержинский;9;9;1;33,2;6500000;1982;17,4 ;7,4 ;; Ленина;Котельники;
ГОРОБМЕН;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/302555048/;Дзержинский;13;18;1;48,0;8300000;2004;20 ;16 ;;Угрешская ;Жулебино;Лесные озёра
Just Estate;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308406800/;Дзержинский;16;17;1;37,7;7300000;-1;18,9 ;8,4 ;;Угрешская ;Котельники;
ИП Столяр А. И.;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/302361078/;Дзержинский;3;19;1;49,0;11000000;2011;20 ;15 ;; Ленина;Котельники;Угрешский
Виктория Ивлиева;realtor;https://dzerzhinsky.cian.ru/sale/flat/305010606/;Дзержинский;3;13;1;49,6;8700000;2014;20 ;15 ;; Бондарева;Котельники;Никольский квартал
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/301248586/;Дзержинский;6;13;1;43,9;8000000;2014;16,8 ;16 ;; Бондарева;Котельники;Никольский квартал
ВИТА;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/303762883/;Дзержинский;3;9;1;33,0;5400000;1990;16,8 ;5,4 ;;Толинская ;Котельники;
ID 16623718;unknown;https://dzerzhinsky.cian.ru/sale/flat/308614538/;Дзержинский;3;5;1;30,0;5700000;1963;-1,0;6 ;;Дзержинская ;Котельники;
ID 81912408;homeowner;https://dzerzhinsky.cian.ru/sale/flat/307095303/;Дзержинский;16;17;1;56,0;10500000;2022;30 ;10 ;; Доркина;Котельники;по ул. Угрешская
